,name,category,chain,chains,currentChainTvls
0,Uniswap V1,Dexes,Ethereum,['Ethereum'],{'Ethereum': 8864077.77818}
1,MakerDAO,CDP,Ethereum,['Ethereum'],{'Ethereum': 7720771105.01246}
2,Compound,Lending,Ethereum,['Ethereum'],"{'Ethereum': 1411714737.23749, 'Ethereum-borrowed': 531849104.75233, 'borrowed': 531849104.75233}"
3,Nexus Mutual,Insurance,Ethereum,['Ethereum'],{'Ethereum': 260871911.24595}
4,Synthetix,Synthetics,Ethereum,['Ethereum'],"{'Optimism': 159142322.39957, 'Ethereum': 314519454.75679}"
5,Tornado Cash,Privacy,Ethereum,['Ethereum'],"{'Optimism': 27281.43, 'BSC': 30978387.54, 'Ethereum': 223872931.96622, 'Gnosis': 49900, 'Avalanche': 106080, 'Polygon': 467298, 'Arbitrum': 354658.59}"
6,EnterDAO,Services,Ethereum,['Ethereum'],{'Ethereum': 258500.31423}
7,Curve,Dexes,Ethereum,['Ethereum'],"{'Optimism': 83159937.573, 'Kava': 10906937.17295, 'Harmony': 0, 'Moonbeam': 2184079.99272, 'Ethereum': 4170379037.83469, 'Aurora': 17258.34973, 'Gnosis': 23955684.78937, 'Avalanche': 18682981.24188, 'Ethereum-staking': 658851602.06366, 'Polygon': 45300639.42553, 'Celo': 22128283.66576, 'Arbitrum': 73204077.33708, 'Fantom': 24384251.72257, 'staking': 658851602.06366}"
8,Opyn Convexity,Options,Ethereum,['Ethereum'],{'Ethereum': 487025.96084}
9,Balancer V1,Dexes,Ethereum,['Ethereum'],{'Ethereum': 145086955.21621}
10,JustStables,CDP,Tron,['Tron'],{'Tron': 1168718067.33934}
11,Uniswap V2,Dexes,Ethereum,['Ethereum'],{'Ethereum': 1115320759.84466}
12,AAVE V1,Lending,Ethereum,['Ethereum'],"{'Ethereum': 20980367.26683, 'Ethereum-borrowed': 2370069.72, 'borrowed': 2370069.72}"
13,Outcome Finance,Synthetics,Ethereum,['Ethereum'],"{'Boba': 260370.843, 'Ethereum': 13977042.92589, 'Polygon': 203065.18244}"
14,Mento,Algo-Stables,Celo,['Celo'],"{'Ethereum': 49218579.63362, 'Celo': 86243580.4092, 'Bitcoin': 8845012.78412}"
15,Augur,Prediction Market,Ethereum,['Ethereum'],{'Ethereum': 1452102.26268}
16,MCDEX,Dexes,Ethereum,['Ethereum'],"{'BSC': 11493.37984, 'Ethereum': 1219045.71568, 'Arbitrum': 462021.53672}"
17,SUNSwap,Dexes,Tron,['Tron'],{'Tron': 421284401.67125}
18,Loopring,Dexes,Ethereum,['Ethereum'],{'Ethereum': 118575891.65634}
19,SushiSwap,Dexes,Ethereum,['Ethereum'],"{'Moonriver': 418948.70313, 'Harmony': 854920.50809, 'BSC': 856082.93718, 'Ethereum': 340514528.17885, 'Gnosis': 3630927.46322, 'Heco': 2009.86845, 'Avalanche': 889846.001, 'Ethereum-staking': 60778682.94811, 'Telos': 116436.88686, 'Celo': 1286912.77794, 'Arbitrum': 122626887.46008, 'Fuse': 50258.69099, 'Fantom': 2450829.87684, 'staking': 60778682.94811, 'OKExChain': 29885.65189, 'Arbitrum Nova': 1154317.21071, 'Boba_Bnb': 182695.07348, 'Palm': 688.94958, 'Boba_Avax': 48007.71484, 'Boba': 1486117.43311, 'Polygon': 34164684.5852}"
20,SnowSwap,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 78179.95491, 'Polygon': 71815.09858, 'Ethereum-staking': 3428.15066, 'staking': 3428.15066}"
21,Shell Protocol,Dexes,Ethereum,['Arbitrum'],{'Arbitrum': 10858983.24353}
22,Quickswap Dex,Dexes,Polygon,['Polygon'],{'Polygon': 104099058.57841}
23,Dfyn Network,Dexes,Polygon,['Polygon'],"{'OKExChain': 64.00561, 'Polygon': 19145555.33777, 'Fantom': 32612.51843}"
24,Hegic,Options,Ethereum,['Arbitrum'],"{'Ethereum': 1355430.39102, 'Arbitrum': 10203418.27052}"
