,Unnamed: 0,chain,protocol,protocol_category,protocol_chains,protocol_mcaptvl,protocol_tvl,protocol_mcap,protocol_strikeTvl
766,766,Astar,FunBeast,Dexes,['Astar'],,2430.967112048346,,False
767,767,Astar,Yumiswap,Dexes,['Astar'],,1830.4284470755144,,False
768,768,Astar,Starbank,Dexes,['Astar'],,462.8265922803748,,False
769,769,Astar,Pandora Swap,Dexes,['Astar'],,393.4719854275298,,False
770,770,Astar,EmiSwap,Dexes,"['Shiden', 'Ethereum', 'KCC', 'Polygon', 'Astar', 'Avalanche', 'Aurora']",,131.60785346763794,0.0,False
771,771,Astar,Astarnova,Dexes,['Astar'],,62.428327952,,False
772,772,Astar,Valerian,Yield,['Astar'],,0.0,,True
773,773,Parallel,Parallel Liquid Crowdloan,Liquid Staking,"['Parallel', 'Heiko']",,183150475.00739807,,True
774,774,Parallel,Parallel Lending,Lending,"['Parallel', 'Heiko']",,38124785.98796526,,False
775,775,Parallel,Parallel Liquid Staking,Liquid Staking,"['Parallel', 'Heiko']",,7331167.467658661,,True
776,776,Parallel,Parallel AMM,Dexes,"['Parallel', 'Heiko']",,3843526.065337004,,False
777,777,Parallel,Parallel DAOfi,Payments,"['Parallel', 'Heiko']",,1935.82,,False
778,778,Heco,MDEX,Dexes,"['BSC', 'Heco']",2.8954686416642543,27853268.759234488,80648266.2602101,False
779,779,Heco,Coinwind,Yield,"['BSC', 'Ethereum', 'Heco']",,14833850.816362515,0.0,True
780,780,Heco,Solo Top,Yield,"['Heco', 'BSC', 'Polygon', 'OKExChain']",,9676818.141966011,,True
781,781,Heco,Back Finance,Yield,['Heco'],,5702358.114833023,,True
782,782,Heco,FilDA,Lending,"['IoTeX', 'Heco', 'Elastos', 'REI', 'Arbitrum', 'Polygon', 'BSC', 'Kava', 'Bittorrent']",0.1095236160675242,3922559.650703203,429612.9171855794,False
783,783,Heco,Channels Finance,Lending,"['Heco', 'BSC', 'Arbitrum']",0.0626063941609949,3524778.4996846486,220673.67208145745,False
784,784,Heco,Belt Finance,Yield,"['BSC', 'Heco', 'Klaytn']",1.0908273909598285,2463862.9969372875,2687649.2446315647,True
785,785,Heco,Depth,Dexes,"['Heco', 'BSC']",0.0075164002018524,1764819.9599600483,13265.093103277,False
786,786,Heco,Pilot Protocol,Lending,['Heco'],,665749.1002374033,0.0,False
787,787,Heco,MakiSwap,Dexes,['Heco'],1.9200014221393729,622760.4719863366,1195700.9918659534,False
788,788,Heco,Pippi,Dexes,['Heco'],,612430.5792281856,0.0,False
789,789,Heco,SashimiSwap,Dexes,"['Ethereum', 'Heco', 'BSC']",2.2283543024456933,589833.4322678732,1314357.8665204258,False
790,790,Heco,MetaTdex,Dexes,"['Heco', 'Polygon', 'BSC']",,486905.2436199757,,False
791,791,Heco,Autofarm,Yield Aggregator,"['BSC', 'Polygon', 'Cronos', 'Fantom', 'Heco', 'Oasis', 'Avalanche', 'OKExChain', 'Moonriver', 'Celo', 'Harmony', 'Velas', 'Gnosis', 'Boba', 'Aurora', 'KCC', 'Wanchain', 'Evmos']",42.8941661379198,452553.72406343,19411914.62631108,True
792,792,Heco,BXH,Dexes,"['Heco', 'OKExChain', 'BSC', 'Ethereum', 'Avalanche']",,437604.6616053881,0.0,False
793,793,Heco,HFIone,Yield,['Heco'],,164752.86072548776,0.0,True
794,794,Heco,YouSwap,Dexes,"['Ethereum', 'Heco', 'BSC']",,69258.36111991185,0.0,False
795,795,Heco,HSwap,Dexes,['Heco'],,44650.115851522765,,False
796,796,Heco,Demeter,Lending,"['BSC', 'Heco']",,37765.30257887067,0.0,False
797,797,Heco,DxSale,Launchpad,"['BSC', 'Ethereum', 'Arbitrum', 'Fantom', 'Polygon', 'Avalanche', 'CORE', 'Cronos', 'Heco', 'OKExChain', 'KCC', 'Celo', 'Harmony', 'Milkomeda C1', 'Bitgert', 'Dexit', 'Moonriver', 'Dogechain', 'Gnosis', 'smartBCH']",40.09186787363514,36972.46080838023,1482295.0136927336,False
798,798,Heco,Elk,Dexes,"['Polygon', 'Kava', 'Avalanche', 'BSC', 'Fantom', 'Elastos', 'Gnosis', 'Ethereum', 'Cronos', 'Arbitrum', 'Optimism', 'IoTeX', 'Fuse', 'Telos', 'KCC', 'Heco', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",97.0608222284646,19652.03902793643,1907443.0665173857,False
799,799,Heco,LendHub,Lending,['Heco'],,13317.140796516658,0.0,False
800,800,Heco,Complus Network,Dexes,"['Avalanche', 'BSC', 'Heco', 'Polygon']",,13023.081962477336,0.0,False
801,801,Heco,Beefy,Yield Aggregator,"['Optimism', 'Polygon', 'BSC', 'Arbitrum', 'Ethereum', 'Fantom', 'Canto', 'Avalanche', 'Kava', 'Cronos', 'Metis', 'Moonbeam', 'Moonriver', 'Fuse', 'Oasis', 'Aurora', 'Celo', 'Harmony', 'Heco']",3067.3030452445023,12634.899489999998,38755065.6820352,True
802,802,Heco,BoringDAO,Cross Chain,"['Bitcoin', 'Litecoin', 'Ethereum', 'Metis', 'Doge', 'IoTeX', 'BSC', 'Aurora', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche', 'Fantom', 'Heco', 'OKExChain', 'KCC', 'Gnosis', 'Harmony', 'Oasis', 'Boba']",289.1200829251822,12579.809352524171,3637075.523184771,False
803,803,Heco,ButterSwap,Dexes,"['BSC', 'Heco']",,12254.92737351246,0.0,False
804,804,Heco,WePiggy,Lending,"['Ethereum', 'OKExChain', 'Arbitrum', 'BSC', 'Optimism', 'Harmony', 'Polygon', 'Moonbeam', 'Moonriver', 'Oasis', 'Heco', 'Aurora']",,9932.21818227075,0.0,False
805,805,Heco,Newland,Yield,"['Ethereum', 'Heco']",,6575.035455452663,,True
806,806,Heco,Vee Finance,Lending,"['Avalanche', 'Heco']",,5787.004498680152,0.0,False
807,807,Heco,Golff Protocol,Yield,"['Ethereum', 'Heco', 'BSC']",112.29747868501798,2715.406081583,304933.2565677351,True
808,808,Aptos,PancakeSwap AMM,Dexes,"['BSC', 'Aptos', 'Ethereum']",,25197079.96429301,,False
809,809,Aptos,LiquidSwap,Dexes,['Aptos'],,8408457.395611754,,False
810,810,Aptos,Tortuga,Liquid Staking,['Aptos'],,8233091.5050965315,,True
811,811,Aptos,Ditto,Liquid Staking,['Aptos'],,1503624.2000076077,,True
812,812,Aptos,Aries Markets,Lending,['Aptos'],,790046.7785218683,,False
813,813,Aptos,ABEL Finance,Lending,['Aptos'],,678104.4258870117,,False
814,814,Aptos,Eternal Finance,Yield,['Aptos'],,356903.61492753273,0.0,True
815,815,Aptos,Aptin Finance,Lending,['Aptos'],,330835.3321448398,,False
816,816,Aptos,AnimeSwap,Dexes,['Aptos'],,237632.79111022,,False
817,817,Aptos,Argo,CDP,['Aptos'],,191469.33872404983,,False
818,818,Aptos,HoustonSwap,Dexes,['Aptos'],,147119.1420929934,,False
819,819,Aptos,Cetus,Dexes,['Aptos'],,111151.82341654976,,False
820,820,Aptos,AUX Exchange,Dexes,['Aptos'],,110944.18157966138,,False
821,821,Aptos,Mole,Yield,['Aptos'],,110361.74390003548,,True
822,822,Aptos,Aptoswap,Dexes,['Aptos'],,63079.90058968713,,False
823,823,Aptos,AtoDEX,Dexes,['Aptos'],,39550.0011329218,,False
824,824,Aptos,Obric,Dexes,['Aptos'],,9988.3842832902,,False
825,825,Aptos,BlueMove,NFT Marketplace,['Aptos'],,0.0,1026875.4894303236,False
826,826,Aptos,Mosquitos Finance,Yield,['Aptos'],,0.0,0.0,True
827,827,Telos,REX Staking,Lending,['Telos'],,27681009.336263597,,False
828,828,Telos,ApeSwap AMM,Dexes,"['BSC', 'Polygon', 'Telos', 'Ethereum']",,3922613.655248119,,False
829,829,Telos,sTLOS Liquid Staking,Liquid Staking,['Telos'],,3842051.1614676416,,True
830,830,Telos,Omnidex Lend,Lending,['Telos'],,1144696.3543657009,,False
831,831,Telos,OmniDex Swap,Dexes,['Telos'],,576576.7356294538,0.0,False
832,832,Telos,Swapsicle,Dexes,"['Telos', 'Avalanche', 'Polygon', 'Fantom', 'Arbitrum', 'BSC', 'Optimism', 'Ethereum']",,1086093.8821868224,0.0,False
833,833,Telos,Telos Swap,Dexes,['Telos'],,223689.3337968548,,False
834,834,Telos,Archly Finance,Dexes,"['Telos', 'Arbitrum', 'Optimism', 'BSC', 'Fantom', 'Polygon', 'Arbitrum Nova', 'Kava']",,219293.12837208947,,False
835,835,Telos,Zappy,Dexes,['Telos'],,214621.1033091097,0.0,False
836,836,Telos,pNetwork,Cross Chain,"['BSC', 'Ultra', 'Ethereum', 'Polygon', 'EOS', 'LBRY', 'Telos', 'Algorand', 'Arbitrum']",144.1164721936697,121326.034099536,17485080.019674,False
837,837,Telos,SushiSwap,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Gnosis', 'Fantom', 'Boba', 'Celo', 'Arbitrum Nova', 'Avalanche', 'BSC', 'Harmony', 'Moonriver', 'Boba_Bnb', 'Telos', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Palm']",2046.119570770849,114794.56850174992,234883413.22962537,False
838,838,Telos,Symbiosis Finance,Cross Chain,"['Ethereum', 'Boba', 'Avalanche', 'Boba_Bnb', 'BSC', 'Telos', 'Polygon', 'Kava', 'Boba_Avax', 'Aurora']",37.24392743595831,95985.79129077,3574887.845716478,False
839,839,Telos,Elk,Dexes,"['Polygon', 'Kava', 'Avalanche', 'BSC', 'Fantom', 'Elastos', 'Gnosis', 'Ethereum', 'Cronos', 'Arbitrum', 'Optimism', 'IoTeX', 'Fuse', 'Telos', 'KCC', 'Heco', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",58.15671117072874,32798.33106307831,1907443.0665173857,False
840,840,Telos,YieldHub Finance,Yield Aggregator,['Telos'],,2972.90102,,True
841,841,Stacks,ALEX,Dexes,['Stacks'],1.6111174057331008,31990681.442591272,51540743.6934217,False
842,842,Stacks,Arkadiko,CDP,['Stacks'],,2425353.52920595,0.0,False
843,843,Stacks,CityCoins,Yield,['Stacks'],,509265.82452864,,True
844,844,Stacks,StackSwap,Dexes,['Stacks'],,259783.7067669469,,False
845,845,Stacks,UWU Protocol,CDP,['Stacks'],,98.4,,False
846,846,Hedera,Stader,Liquid Staking,"['Ethereum', 'Hedera', 'BSC', 'Fantom', 'Near', 'Terra2']",0.7607128588671572,33386658.93638036,25397660.767516628,True
847,847,Hedera,SaucerSwap,Dexes,['Hedera'],0.37877784742447,19398702.7161,7347798.857631579,False
848,848,Hedera,Pangolin,Dexes,"['Avalanche', 'Hedera', 'Flare', 'Songbird']",0.8669355448609758,8929868.499923289,7741620.413517861,False
849,849,Hedera,HeliSwap,Dexes,['Hedera'],,5839528.262519221,,False
850,850,Hedera,Bubbleswap,Dexes,['Hedera'],,156656.33713021455,,False
851,851,Hedera,Tangent,Dexes,['Hedera'],,21715.86063428576,,False
852,852,OKExChain,OKC Liquid Staking,Liquid Staking,['OKExChain'],,78840596.04438376,,True
853,853,OKExChain,OKCSwap,Dexes,['OKExChain'],,27728242.257362247,,False
854,854,OKExChain,CherrySwap,Dexes,['OKExChain'],1.347698043247426,3091754.690037473,4166751.745964554,False
855,855,OKExChain,WePiggy,Lending,"['Ethereum', 'OKExChain', 'Arbitrum', 'BSC', 'Optimism', 'Harmony', 'Polygon', 'Moonbeam', 'Moonriver', 'Oasis', 'Heco', 'Aurora']",,1275719.133572488,0.0,False
856,856,OKExChain,JSwap,Dexes,['OKExChain'],,875139.3694085017,0.0,False
857,857,OKExChain,KSwap Finance,Dexes,['OKExChain'],,616350.1795822879,,False
858,858,OKExChain,Wing Finance,Lending,"['Ontology', 'BSC', 'OntologyEVM', 'Ethereum', 'OKExChain']",75.67828662062354,282209.156,21357105.394732263,False
859,859,OKExChain,Autofarm,Yield Aggregator,"['BSC', 'Polygon', 'Cronos', 'Fantom', 'Heco', 'Oasis', 'Avalanche', 'OKExChain', 'Moonriver', 'Celo', 'Harmony', 'Velas', 'Gnosis', 'Boba', 'Aurora', 'KCC', 'Wanchain', 'Evmos']",136.52055463816768,142190.41724347053,19411914.62631108,True
860,860,OKExChain,OakFarm,Yield,['OKExChain'],,98896.50442428584,,True
861,861,OKExChain,BXH,Dexes,"['Heco', 'OKExChain', 'BSC', 'Ethereum', 'Avalanche']",,72226.84696521808,0.0,False
862,862,OKExChain,KLend,Lending,"['BSC', 'OKExChain']",,37174.442399013526,0.0,False
863,863,OKExChain,SushiSwap,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Gnosis', 'Fantom', 'Boba', 'Celo', 'Arbitrum Nova', 'Avalanche', 'BSC', 'Harmony', 'Moonriver', 'Boba_Bnb', 'Telos', 'Fuse', 'Boba_Avax', 'OKExChain', 'Heco', 'Palm']",7916.313462825648,29670.80754604001,234883413.22962537,False
864,864,OKExChain,DxSale,Launchpad,"['BSC', 'Ethereum', 'Arbitrum', 'Fantom', 'Polygon', 'Avalanche', 'CORE', 'Cronos', 'Heco', 'OKExChain', 'KCC', 'Celo', 'Harmony', 'Milkomeda C1', 'Bitgert', 'Dexit', 'Moonriver', 'Dogechain', 'Gnosis', 'smartBCH']",56.383908577233385,26289.32706327586,1482295.0136927336,False
865,865,OKExChain,Solo Top,Yield,"['Heco', 'BSC', 'Polygon', 'OKExChain']",,22443.666038757605,,True
866,866,OKExChain,Elk,Dexes,"['Polygon', 'Kava', 'Avalanche', 'BSC', 'Fantom', 'Elastos', 'Gnosis', 'Ethereum', 'Cronos', 'Arbitrum', 'Optimism', 'IoTeX', 'Fuse', 'Telos', 'KCC', 'Heco', 'Bittorrent', 'OKExChain', 'Moonriver', 'Harmony', 'Hoo']",164.03962086713068,11627.941203682629,1907443.0665173857,False
867,867,OKExChain,BoringDAO,Cross Chain,"['Bitcoin', 'Litecoin', 'Ethereum', 'Metis', 'Doge', 'IoTeX', 'BSC', 'Aurora', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche', 'Fantom', 'Heco', 'OKExChain', 'KCC', 'Gnosis', 'Harmony', 'Oasis', 'Boba']",350.8536721057643,10366.36014483092,3637075.523184771,False
868,868,OKExChain,ForTube,Lending,"['BSC', 'Polygon', 'Ethereum', 'IoTeX', 'OKExChain']",5152.656439742636,2664.2101813574677,13727759.74779945,False
869,869,OKExChain,Impossible Finance,Launchpad,"['BSC', 'Aurora', 'OKExChain', 'Avalanche', 'Kava', 'Boba', 'Moonbeam']",319.5312046775916,1080.333825860052,345200.36883101385,False
870,870,OKExChain,Pickle,Yield Aggregator,"['Ethereum', 'Optimism', 'Arbitrum', 'Polygon', 'Aurora', 'Metis', 'Moonbeam', 'Moonriver', 'OKExChain', 'Cronos', 'Kava', 'Harmony']",1867.294763641955,897.6750449999998,1676223.9109805557,True
871,871,OKExChain,Farm Hero,Gaming,"['Polygon', 'BSC', 'OKExChain']",,559.7733023885426,0.0,False
872,872,OKExChain,DogeClaw,Gaming,['OKExChain'],,125.84217620641628,,False
873,873,OKExChain,Dfyn Network,Dexes,"['Polygon', 'Fantom', 'OKExChain']",146449.7819809353,63.71469598987804,9331003.336699212,False
874,874,OKExChain,Flux Protocol,Lending,"['OKExChain', 'BSC', 'Ethereum', 'Conflux', 'Arbitrum', 'Polygon']",,56.59321758194999,0.0,False
875,875,OKExChain,Xensa,Lending,['OKExChain'],,32.06792794044466,0.0,False
876,876,OKExChain,DeFiner,Lending,"['Polygon', 'Ethereum', 'OKExChain']",7846.449670281648,22.90640157531436,179733.9270879644,False
877,877,OKExChain,FlokiFi Locker,Launchpad,"['Ethereum', 'BSC', 'Dogechain', 'Cronos', 'Arbitrum', 'Fantom', 'Optimism', 'Polygon', 'KCC', 'Avalanche', 'OKExChain', 'Evmos']",19619432852.99084,0.0191892281153739,376481772.5103029,False
878,878,OKExChain,Spherium,Cross Chain,"['Polygon', 'Ethereum', 'Fantom', 'Avalanche', 'Optimism', 'Arbitrum', 'BSC', 'Cronos', 'OKExChain', 'Moonriver', 'KCC', 'Moonbeam', 'Aurora']",,0.0,389142.1460452764,False
