Timestamp,Date,Ethereum,Tron,BSC,Arbitrum,Polygon,Optimism,Avalanche,Fantom,Mixin,Cronos,DefiChain,Solana,Kava,Klaytn,Osmosis,Bitcoin,Fusion,Algorand,Celo,Cardano,EOS,Waves,Canto,Ronin,MultiversX,Gnosis,Rootstock,Aurora,Near,Moonbeam,NEO,KCC,Metis,Tezos,Astar,Parallel,Heco,Aptos,Telos,Stacks,Hedera,OKExChain,Conflux,IoTeX,Terra2,Acala,Oasis,Ontology,Moonriver,Stellar,Tlchain,Icon,TON,WEMIX,CORE,Bittorrent,Vision,Wanchain,Karura,DFK,Ultron,Crescent,Injective,Everscale,Umee,Terra Classic,Oraichain,Kujira,Ultra,Flow,Proton,Vite,Zilliqa,Secret,smartBCH,Harmony,Velas,Nuls,Dogechain,Step,Juno,Heiko,Bifrost,Interlay,Kardia,Carbon,XDC,Boba,Sora,Ergo,Meter,GodwokenV1,SXnetwork,Milkomeda C1,Libre,ThunderCore,Songbird,Kadena,Filecoin,Comdex,Hydra,OntologyEVM,Starknet,Theta,LBRY,Arbitrum Nova,Bitgert,VeChain,Elastos,Energi,Syscoin,FunctionX,Evmos,Obyte,Bitindi,Fuse,Zeniq,Godwoken,Kintsugi,Crab,Nahmii,Callisto,Tombchain,Wax,Bitcoincash,Genshiro,Map,TomoChain,Starcoin,CSC,Europa,EnergyWeb,Nova Network,Litecoin,EthereumPoW,Flare,Boba_Bnb,EthereumClassic,Empire,Shiden,ICP,Ubiq,Findora,ZYX,Doge,Milkomeda A1,Cube,Rangers,Dexit,REI,Lachain,MultiVAC,Lamden,Sifchain,HPB,Boba_Avax,Goerli,REIchain,CLV,Stargaze,MUUCHAIN,Lung,GoChain,Polis,Palm,Kekchain,Omax,Polkadot,Kusama,CosmosHub,Stafi,Stride,Persistence,Hoo,Echelon,zkSync,Coti,Thorchain
1596326400,2020-08-02,3519407071.35,20683397.46,,,,,,,,,,,,,,,,,190399445.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596412800,2020-08-03,3441399745.95,19593265.83,,,,,,,,,,,,,,,,,188929323.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596499200,2020-08-04,3582076632.92,20348593.8,,,,,,,,,,,,,,,,,191499045.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596585600,2020-08-05,3651374431.66,20853030.98,,,,,,,,,,,,,,,,,188303810.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596672000,2020-08-06,3847532056.2200003,21365989.01,,,,,,,,,,,,,,,,,190595519.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596758400,2020-08-07,3782397796.4500003,20825932.71,,,,,,,,,,,,,,,,,187871900.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596844800,2020-08-08,3841065410.64,21419595.43,,,,,,,,,,,,,,,,,181623025.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596931200,2020-08-09,3867652482.63,21123103.21,,,,,,,,,,,,,,,,,206297108.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597017600,2020-08-10,3978525002.57,21303881.51,,,,,,,,,,,,,,,,,218455337.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597104000,2020-08-11,4058227052.9000006,22132019.54,,,,,,,,,,,,,,,,,213131863.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
