,name,category,chain,chains,currentChainTvls,currentChainTvls_agg,Tokens
98,Smoothy,Dexes,Ethereum,['Ethereum'],"{'BSC': 2618328.35877, 'Ethereum': 3851681.57189}",6470009.93066,"dict_keys(['BSC', 'Ethereum'])"
99,Gnosis Protocol v1,Prediction Market,Ethereum,['Ethereum'],{'Ethereum': 4141538.48839},4141538.48839,dict_keys(['Ethereum'])
100,Raydium,Dexes,Solana,['Solana'],{},0.0,dict_keys([])
101,Auctus,Options,Ethereum,['Ethereum'],{'Ethereum': 122163.36108},122163.36108,dict_keys(['Ethereum'])
102,Connext,Cross Chain,Ethereum,['Gnosis'],"{'Optimism': 20046.88747, 'Cronos': 30.19289, 'Evmos': 29339.13634, 'Moonriver': 1526.97837, 'Milkomeda C1': 66302.0341, 'Harmony': 0, 'Moonbeam': 169.37379, 'BSC': 793446.01807, 'Boba': 25002.30317, 'Ethereum': 7354.21724, 'Gnosis': 2584277.99641, 'Avalanche': 145085.20381, 'Polygon': 42500.07815, 'Arbitrum': 7010.96502, 'Fuse': 426.64224, 'Fantom': 1845652.73374}",5568170.76081,"dict_keys(['Optimism', 'Cronos', 'Evmos', 'Moonriver', 'Milkomeda C1', 'Harmony', 'Moonbeam', 'BSC', 'Boba', 'Ethereum', 'Gnosis', 'Avalanche', 'Polygon', 'Arbitrum', 'Fuse', 'Fantom'])"
103,DDEX,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2608667.25091},2608667.25091,dict_keys(['Ethereum'])
104,Defi Swap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2222576.97607},2222576.97607,dict_keys(['Ethereum'])
105,DeFiner,Lending,Ethereum,['Polygon'],"{'Ethereum': 102.14919, 'OKExChain': 22.70805, 'Polygon': 778.70177}",903.5590100000001,"dict_keys(['Ethereum', 'OKExChain', 'Polygon'])"
106,DerivaDEX,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 1636968.26232},1636968.26232,dict_keys(['Ethereum'])
107,Enzyme Finance,Indexes,Ethereum,['Ethereum'],{'Ethereum': 76487337.48006},76487337.48006,dict_keys(['Ethereum'])
108,Erasure,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 4992583.46276},4992583.46276,dict_keys(['Ethereum'])
109,CreamSwap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 5485793.50311},5485793.50311,dict_keys(['Ethereum'])
110,FutureSwap,Derivatives,Ethereum,['Ethereum'],"{'Ethereum': 460850.26825, 'Avalanche': 32970.14192, 'Arbitrum': 421281.05821}",915101.46838,"dict_keys(['Ethereum', 'Avalanche', 'Arbitrum'])"
111,IDEX,Dexes,Ethereum,['Polygon'],"{'Ethereum': 1298700.1336, 'Polygon': 1817060.0354}",3115760.1689999998,"dict_keys(['Ethereum', 'Polygon'])"
112,Lightning Network,Payments,Bitcoin,['Bitcoin'],{'Bitcoin': 151839091.70558},151839091.70558,dict_keys(['Bitcoin'])
113,Metronome V1,Services,Ethereum,['Ethereum'],{'Ethereum': 3311668.09997},3311668.09997,dict_keys(['Ethereum'])
114,Notional,Lending,Ethereum,['Ethereum'],{'Ethereum': 38494718.91381},38494718.91381,dict_keys(['Ethereum'])
115,PEAKDEFI,Services,Ethereum,['Ethereum'],"{'Ethereum': 110888.80413, 'BSC-staking': 758551.69468, 'Ethereum-staking': 2497133.90625, 'staking': 3255685.60094}",6622260.005999999,"dict_keys(['Ethereum', 'BSC-staking', 'Ethereum-staking', 'staking'])"
116,Perlin,Dexes,Ethereum,['Ethereum'],{'Ethereum': 4691694.39718},4691694.39718,dict_keys(['Ethereum'])
117,Swipe,Dexes,Ethereum,['BSC'],"{'BSC': 108488.53431, 'Ethereum': 67582.21467}",176070.74898,"dict_keys(['BSC', 'Ethereum'])"
118,Mango Markets,Lending,Solana,['Solana'],{'Solana': 0},0.0,dict_keys(['Solana'])
119,Ellipsis Finance,Dexes,Binance,['BSC'],"{'BSC': 22014103.66207, 'BSC-staking': 395267.66706, 'staking': 395267.66706}",22804638.996189997,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
120,Olympus DAO,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 239914085.79329, 'Ethereum-staking': 14353640.07017, 'staking': 14353640.07017}",268621365.93363,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
121,CompliFi,Derivatives,Ethereum,['Polygon'],"{'Ethereum': 30881.72769, 'Polygon': 137332.92135}",168214.64904,"dict_keys(['Ethereum', 'Polygon'])"
122,PowerPool,Indexes,Ethereum,['Ethereum'],"{'BSC': 18655.54983, 'Ethereum': 569293.44663}",587948.99646,"dict_keys(['BSC', 'Ethereum'])"
123,BasketDAO,Indexes,Ethereum,['Ethereum'],{'Ethereum': 258762.17141},258762.17141,dict_keys(['Ethereum'])
124,Integral,Dexes,Ethereum,['Ethereum'],{'Ethereum': 2672788.91616},2672788.91616,dict_keys(['Ethereum'])
125,Whiteheart,Options,Ethereum,['Ethereum'],{'Ethereum': 2663311.81903},2663311.81903,dict_keys(['Ethereum'])
