,name,category,chain,chains,currentChainTvls,currentChainTvls_agg,Tokens
28,dForce,Lending,Ethereum,['BSC'],"{'Optimism': 8012019.75775, 'Kava': 0, 'Arbitrum-borrowed': 4659526.64044, 'Polygon-borrowed': 1453805.27739, 'BSC-borrowed': 4318368.21501, 'BSC': 14085564.00452, 'Ethereum': 4569066.43651, 'Optimism-borrowed': 2622009.48078, 'Avalanche': 0, 'Ethereum-staking': 9156291.377, 'Polygon': 2774851.27795, 'Ethereum-borrowed': 4235607.00277, 'Arbitrum': 13691301.14768, 'borrowed': 17289316.6164, 'Kava-borrowed': 0, 'staking': 9156291.377, 'Avalanche-borrowed': 0}",96024018.6112,"dict_keys(['Optimism', 'Kava', 'Arbitrum-borrowed', 'Polygon-borrowed', 'BSC-borrowed', 'BSC', 'Ethereum', 'Optimism-borrowed', 'Avalanche', 'Ethereum-staking', 'Polygon', 'Ethereum-borrowed', 'Arbitrum', 'borrowed', 'Kava-borrowed', 'staking', 'Avalanche-borrowed'])"
29,KEEP Network,Cross Chain,Ethereum,['Ethereum'],"{'Ethereum': 6862024.01903, 'Ethereum-staking': 12853629.74219, 'staking': 12853629.74219}",32569283.50341,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
30,mStable CDP,CDP,Ethereum,['Ethereum'],"{'Ethereum': 6515151.95047, 'Polygon': 4404080.58127}",10919232.531739999,"dict_keys(['Ethereum', 'Polygon'])"
31,Kava Mint,CDP,Kava,['Kava'],{'Kava': 80891838.43421},80891838.43421,dict_keys(['Kava'])
32,KyberSwap Classic,Dexes,Ethereum,['Bittorrent'],"{'Optimism': 1213252.64014, 'Cronos': 28.52956, 'Velas': 5.79274, 'Bittorrent': 8990172.80705, 'BSC': 619759.91953, 'Ethereum': 1913734.77998, 'Aurora': 0, 'Oasis': 8.69073, 'Avalanche': 452862.37084, 'Polygon': 8960884.98279, 'Arbitrum': 258.51304, 'Fantom': 57773.02491}",22208742.05131,"dict_keys(['Optimism', 'Cronos', 'Velas', 'Bittorrent', 'BSC', 'Ethereum', 'Aurora', 'Oasis', 'Avalanche', 'Polygon', 'Arbitrum', 'Fantom'])"
33,The Tokenized Bitcoin,Services,Ethereum,['Ethereum'],{'Ethereum': 15805358.08002},15805358.08002,dict_keys(['Ethereum'])
34,Bepswap,Dexes,Binance,['BSC'],{},0.0,dict_keys([])
35,Hakka Finance,Derivatives,Ethereum,['Ethereum'],"{'pool2': 0, 'Ethereum-pool2': 0, 'BSC': 1005.16145, 'Ethereum': 4293194.59475, 'BSC-staking': 0, 'Ethereum-staking': 72477.44383, 'staking': 72477.44383}",4439154.64386,"dict_keys(['pool2', 'Ethereum-pool2', 'BSC', 'Ethereum', 'BSC-staking', 'Ethereum-staking', 'staking'])"
36,Kava Lend,Lending,Kava,['Kava'],"{'Kava': 87649977.97837, 'borrowed': 9656659.17493, 'Kava-borrowed': 9656659.17493}",106963296.32823001,"dict_keys(['Kava', 'borrowed', 'Kava-borrowed'])"
37,Swerve,Dexes,Ethereum,['Ethereum'],{'Ethereum': 1208491.58665},1208491.58665,dict_keys(['Ethereum'])
38,Flexa,Payments,Ethereum,['Ethereum'],{'Ethereum': 96673112.36558},96673112.36558,dict_keys(['Ethereum'])
39,dYdX,Derivatives,Ethereum,['Ethereum'],{'Ethereum': 341441476.45929},341441476.45929,dict_keys(['Ethereum'])
40,DODO,Dexes,Ethereum,['Ethereum'],"{'BSC': 12429889.30465, 'Ethereum': 17973220.42564, 'Aurora': 104171.44838, 'Polygon': 2838038.98446, 'Arbitrum': 4174264.35605}",37519584.51918,"dict_keys(['BSC', 'Ethereum', 'Aurora', 'Polygon', 'Arbitrum'])"
41,B.Protocol,Lending,Ethereum,['Ethereum'],"{'Ethereum': 29333453.09531, 'Polygon': 1116.9202, 'Arbitrum': 180053.81621, 'Fantom': 71805.63448}",29586429.4662,"dict_keys(['Ethereum', 'Polygon', 'Arbitrum', 'Fantom'])"
42,Terraswap,Dexes,Terra,['Terra Classic'],"{'Terra Classic': 2991268.01746, 'Terra2': 311525.6821}",3302793.6995599996,"dict_keys(['Terra Classic', 'Terra2'])"
43,Rhino.fi,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 18893543.43788, 'Polygon': 618479.14452, 'Arbitrum': 484483.23017}",19996505.81257,"dict_keys(['Ethereum', 'Polygon', 'Arbitrum'])"
44,CoFiX,Dexes,Ethereum,['Ethereum'],{'Ethereum': 20216.20115},20216.20115,dict_keys(['Ethereum'])
45,88mph,Lending,Ethereum,['Ethereum'],"{'Ethereum': 1097774.45144, 'Avalanche': 87.16403, 'Polygon': 150.63316, 'Ethereum-staking': 139472.11162, 'staking': 139472.11162, 'Fantom': 363857.22643}",1740813.6983000003,"dict_keys(['Ethereum', 'Avalanche', 'Polygon', 'Ethereum-staking', 'staking', 'Fantom'])"
46,Siren,Options,Ethereum,['Polygon'],"{'Ethereum': 430604.8518, 'Polygon': 1393938.74835}",1824543.60015,"dict_keys(['Ethereum', 'Polygon'])"
47,BoringDAO,Cross Chain,Ethereum,['Bitcoin'],"{'Optimism': 53489.07756, 'Metis': 451618.62407, 'Harmony': 0, 'BSC': 78377.08498, 'IoTeX': 106412.78124, 'Ethereum': 474833.33086, 'Gnosis': 4631.94891, 'Oasis': 0, 'Heco': 12586.57116, 'Avalanche': 17588.76562, 'Ethereum-staking': 21175.03384, 'Doge': 154905.2718, 'Arbitrum': 33175.68112, 'Fantom': 16232.31877, 'staking': 21175.03384, 'Litecoin': 512673.25143, 'OKExChain': 10361.7236, 'KCC': 9242.26005, 'Boba': 0, 'Aurora': 62079.12132, 'Polygon': 31646.33385, 'Bitcoin': 1179228.63759}",3251432.85161,"dict_keys(['Optimism', 'Metis', 'Harmony', 'BSC', 'IoTeX', 'Ethereum', 'Gnosis', 'Oasis', 'Heco', 'Avalanche', 'Ethereum-staking', 'Doge', 'Arbitrum', 'Fantom', 'staking', 'Litecoin', 'OKExChain', 'KCC', 'Boba', 'Aurora', 'Polygon', 'Bitcoin'])"
48,Bancor V2.1,Dexes,Ethereum,['Ethereum'],{'Ethereum': 27018348.89099},27018348.89099,dict_keys(['Ethereum'])
49,ForTube,Lending,Ethereum,['BSC'],"{'BSC': 1192616.87929, 'IoTeX': 16788.68329, 'Ethereum': 85292.78405, 'OKExChain': 2663.24812, 'Polygon': 88285.02679}",1385646.62154,"dict_keys(['BSC', 'IoTeX', 'Ethereum', 'OKExChain', 'Polygon'])"
50,ValueDefi,Dexes,Binance,['BSC'],{'BSC': 334482.04229},334482.04229,dict_keys(['BSC'])
51,Cover Protocol,Insurance,Ethereum,['Ethereum'],{'Ethereum': 812357.66114},812357.66114,dict_keys(['Ethereum'])
52,TrueFi,Uncollateralized Lending,Ethereum,['Ethereum'],"{'Ethereum': 1418344.61484, 'Ethereum-staking': 16828703.99402, 'Ethereum-borrowed': 7875299.61286, 'borrowed': 7875299.61286, 'staking': 16828703.99402}",50826351.828600004,"dict_keys(['Ethereum', 'Ethereum-staking', 'Ethereum-borrowed', 'borrowed', 'staking'])"
53,WanSwap Dex,Dexes,Wanchain,['Wanchain'],{'Wanchain': 4107923.9832},4107923.9832,dict_keys(['Wanchain'])
54,Venus,Lending,Binance,['BSC'],"{'BSC': 903309946.22971, 'BSC-borrowed': 772406823.1352, 'borrowed': 772406823.1352}",2448123592.50011,"dict_keys(['BSC', 'BSC-borrowed', 'borrowed'])"
55,PieDAO,Indexes,Ethereum,['Ethereum'],"{'Ethereum': 2288729.58206, 'Ethereum-staking': 2242521.94139, 'staking': 2242521.94139}",6773773.4648400005,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
56,Dev Protocol,Staking,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 185090.12786, 'staking': 185090.12786}",370180.25572,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
57,Basis Cash,Algo-Stables,Ethereum,['Ethereum'],{'Ethereum': 387137.36222},387137.36222,dict_keys(['Ethereum'])
58,SynLev,Synthetics,Ethereum,['Ethereum'],{'Ethereum': 0},0.0,dict_keys(['Ethereum'])
59,AAVE V2,Lending,Ethereum,['Ethereum'],"{'pool2': 127441951.11055, 'Polygon-borrowed': 57247843.68593, 'Ethereum-pool2': 127441951.11055, 'Ethereum': 4205969814.27644, 'Avalanche': 49566788.55977, 'Ethereum-staking': 264506581.13309, 'Polygon': 179527411.01893, 'Ethereum-borrowed': 1901789646.00374, 'borrowed': 1977722343.95479, 'staking': 264506581.13309, 'Avalanche-borrowed': 18684854.26512}",9174405766.251999,"dict_keys(['pool2', 'Polygon-borrowed', 'Ethereum-pool2', 'Ethereum', 'Avalanche', 'Ethereum-staking', 'Polygon', 'Ethereum-borrowed', 'borrowed', 'staking', 'Avalanche-borrowed'])"
60,FinNexus,Options,Ethereum,['Ethereum'],"{'BSC': 46167.21205, 'Wanchain': 5473.71744, 'Ethereum': 182666.40222}",234307.33171,"dict_keys(['BSC', 'Wanchain', 'Ethereum'])"
61,Index Coop,Indexes,Ethereum,['Ethereum'],{'Ethereum': 68657011.60268},68657011.60268,dict_keys(['Ethereum'])
