,id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,referralUrl,treasury,audit_links,openSource,governanceID,mcap,language,staking,parentProtocol,pool2
4,240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,,polygon-bridge-&-staking,7968015679.575168,{'Polygon': 7968015679.575168},-0.6172781335099984,-1.6286554307932022,-8.47548163465406,{},,,,,,10082255104.509798,,,,
37,295,Stacks Staking,-,STX,https://stacks.co,"Stacks makes Bitcoin programmable, enabling decentralized apps and smart contracts that inherit all of Bitcoin’s powers. See detailed metrics for Stacking at https://stacking.club/",Stacks,https://icons.llama.fi/stacks.png,2,,blockstack,4847,Chain,['Stacks'],stacks/index.js,Stacks,,,,stacks-staking,487335816.5853818,{'Stacks': 487335816.5853818},-1.120503898590215,-12.565982142857152,-18.52664083909069,{},,,,,,1343190770.7679355,,,,
77,129,xDAI Stake Bridge,0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE,https://xdaichain.com/ ,"The first-ever USD stable blockchain and multi-chain staking token.
",Ethereum,https://icons.llama.fi/xdai-stake.png,2,,xdai-stake,5601,Chain,['Ethereum'],xdai/index.js,xdaichain,,,,xdai-stake-bridge,161978403.37790182,{'Ethereum': 161978403.37790182},-0.11468306505153691,-1.8853360993451957,-2.568812802321247,{},,,,,,1119709.9969087597,,,,
340,518,Nuls,-,NULS,https://nuls.io,"NULS is a blockchain infrastructure for customizable services, driven by our global open-source community.",Nuls,https://icons.llama.fi/nuls.jpg,0,,nuls,2092,Chain,['Nuls'],nuls.js,Nuls,,,,nuls,12856344.31,{'Nuls': 12856344.31},0.4122656630295154,-6.018696662876522,-6.6257643511650315,{},,,,,,27712939.08021072,,,,
417,245,Secret Network,-,SCRT,https://scrt.network/,"Secret is the native coin of the Secret Network, a decentralized network for private / secure computation.",Secret,https://icons.llama.fi/secret-network.jpg,0,,secret,5604,Chain,['Secret'],scrt.js,SecretNetwork,,,,secret-network,8246531.772154187,{'Secret': 8246531.772154187},0.0,4.197492025873288,5.8245263856693015,{},,,,,,127835331.15915737,,,,
635,344,ZKSwap,0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,ZKS,https://zks.org/en,ZKSwap is a ZK-Rollups based layer-2 DEX with AMM model.,Ethereum,https://icons.llama.fi/zkswap.jpg,0,,zkswap,8202,Chain,['Ethereum'],zkswap/index.js,ZKSwapOfficial,,,,zkswap,2534231.129664057,{'Ethereum': 2534231.129664057},-0.03428600603430709,-3.6139398082256804,-0.6959631193506794,{},,,,,,37541909.161414996,,,,
2103,1230,Welnance,bsc:0x854b4c305554c5fa72353e31b8480c0e5128a152,WEL,https://welnance.com,"Welnance is a protocol on the Binance Smart Chain that establishes money markets, which are pools of assets with algorithmically derived interest rates, based on the supply and demand for the asset.",Binance,https://icons.llama.fi/welnance.jpg,0,,welnance-finance,12328,Chain,['Binance'],welnance/index.js,WelnanceWorld,['Compound'],,1641875259.0,welnance,0.8092387247017943,"{'Binance': 0.8092387247017943, 'Binance-borrowed': 179230.3360294436, 'borrowed': 179230.3360294436}",-0.021699465874064572,-0.2898065995967585,6.279992614619729,{},,,['https://app.inspex.co/library/welnance#?scope=welnance-lending'],,,0.0,,,,
