,id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,referralUrl,treasury,audit_links,openSource,governanceID,mcap,language,staking,parentProtocol,pool2
394,349,Injective Bridge,0xe28b3b32b6c345a34ff64674606124dd5aceca30,INJ,https://injective.com,Access limitless DeFi markets with zero barriers.,Ethereum,https://icons.llama.fi/injective.png,2,,injective-protocol,7226,Bridge,['Ethereum'],injective/index.js,injective_,,"['Chainlink', 'Band', 'DIA']",,injective-bridge,9455118.917402495,{'Ethereum': 9455118.917402495},-0.012585746961832456,-0.4648006924104777,5.618860609593071,{},,,['https://www.certik.org/projects/injectiveprotocol'],,,332341464.5545547,,,,
406,2081,Wan Bridge,,-,https://bridge.wanchain.org,"Wanchain, the Wide Area Network chain, is the worlds premier decentralised blockchain interoperability solution.",Multi-Chain,https://icons.llama.fi/wan-bridge.png,2,,,,Bridge,"['Ethereum', 'Bitcoin', 'Ripple', 'Wanchain', 'Polygon', 'OKExChain', 'Optimism', 'Binance', 'Arbitrum', 'Avalanche', 'Astar', 'Fantom', 'Litecoin', 'Moonriver', 'Polkadot', 'Tron', 'Doge', 'Moonbeam', 'XDC']",wanbridge.js,wanchain_org,[],[],1662981783.0,wan-bridge,8642016.654118864,"{'Optimism': 301263.2613577654, 'Wanchain': 706327.8687150312, 'Moonriver': 21725.51800285543, 'Binance': 230737.7408758563, 'Ethereum': 2539360.362429522, 'Astar': 165820.80789518234, 'XDC': 275.9198320444838, 'Avalanche': 181756.18888575627, 'Doge': 5875.452068397543, 'Arbitrum': 205168.44150285228, 'Tron': 10203.227437890051, 'Ripple': 1486175.938900702, 'Fantom': 73116.0805120557, 'Litecoin': 29375.399766660452, 'OKExChain': 432572.86564075813, 'Moonbeam': 296.3659668147801, 'Polygon': 541838.3996274953, 'Polkadot': 17892.48049272375, 'Bitcoin': 1692234.3342085003}",-0.09930486593842147,-1.4065376705293886,1.0102872474512026,{},,,['https://github.com/wanchain/Audits'],,,,,,,
444,2561,NerveBridge,,-,https://nerve.network/,"NerveNetwork is a Decentralized Digital Asset Service Network.It is an asset relay network connecting multiple blockchains, a completely gas-free blockchain.",Multi-Chain,https://icons.llama.fi/nervebridge.png,2,,,,Bridge,"['Nuls', 'Binance', 'Ethereum', 'ENULS', 'OKExChain', 'Avalanche', 'Heco', 'Polygon', 'Tron', 'Fantom', 'Kava', 'Kucoin', 'Harmony', 'smartBCH', 'Arbitrum', 'IoTeX', 'Cronos', 'EthereumPoW', 'Klaytn', 'Optimism', 'Metis']",nervenetworkbridge/index.js,nerve_network,[],[],1676992246.0,nervebridge,7510919.542234517,"{'Optimism': 0.00175685, 'Metis': 0, 'Kava': 4868.429599780594, 'Klaytn': 0.009939063, 'Harmony': 3598.2875912810014, 'Nuls': 5989892.013314, 'Binance': 600141.9075139614, 'IoTeX': 30.419551818625, 'Ethereum': 351170.3739490477, 'Heco': 43569.52303106456, 'Avalanche': 70689.84345965563, 'Arbitrum': 1940.3077157288499, 'Tron': 16565.611293574962, 'Fantom': 6192.861328660803, 'Cronos': 10.184181513268792, 'OKExChain': 110554.60441974111, 'ENULS': 262707.42716872116, 'Kucoin': 4820.4478682025765, 'smartBCH': 3588.748055929203, 'EthereumPoW': 6.849667000000001, 'Polygon': 40571.69082892197}",-0.07669469291758446,-4.157388451939923,5.317702621432744,{},,,['https://drive.google.com/drive/folders/13gk5XzfJmCUyRCmoleWH47REUOyGc4yo'],,,,,,,
462,864,Wrapped BNB,kava:-,BNB,https://www.kava.io,Wrapped BNB (BNB) is a Kava chain token that is backed 1:1 with BNB using the open BEP3 protocol. Completely transparent. 100% verifiable. Secured by Binance.com.,Binance,https://icons.llama.fi/wrapped-bnb.png,0,,,,Bridge,['Binance'],wrappedBNB.js,,['BinanceChain BEPs'],,1637348348.0,wrapped-bnb,6682683.537568375,{'Binance': 6682683.537568375},-0.1350107394906388,0.007126399323780674,28.37828994015922,{},,,,,,,,,,
511,577,Allbridge,celo:0x6e512BFC33be36F2666754E996ff103AD1680Cc9,ABR,https://allbridge.io,"Allbridge is a simple, modern, and reliable way to transfer assets between different networks. It is a bridge between both EVM and non-EVM compatible blockchains, that aims to cover L2 solutions and NFT transfers in the future.",Multi-Chain,https://icons.llama.fi/allbridge.jpg,2,,allbridge,12212,Bridge,"['Ethereum', 'Binance', 'Solana', 'Polygon', 'Avalanche', 'Celo', 'Fantom', 'Near', 'Terra', 'Heco', 'Harmony', 'Fuse', 'Aurora']",allbridge/index.js,Allbridge_io,,,,allbridge,5075139.1985084275,"{'Celo-staking': 4286.057799, 'Harmony-staking': 1854.8484509999998, 'Fuse-staking': 735.140169, 'Fantom-staking': 19170.632004, 'Harmony': 0, 'Near-staking': 3932.5381079999997, 'Terra-staking': 11406.954431999999, 'Binance': 1212522.6526180515, 'Ethereum': 1357162.8396056301, 'Heco': 11018.5515117911, 'Binance-staking': 60195.619425, 'Avalanche': 303716.44564856705, 'Celo': 296155.4388519187, 'Fuse': 0, 'Fantom': 122754.6609676368, 'staking': 324558.784107, 'Aurora-staking': 4862.8117139999995, 'Terra': 35172.773943149994, 'Near': 59842.69, 'Heco-staking': 709.004472, 'Solana-staking': 205441.31659499998, 'Aurora': 0, 'Avalanche-staking': 4884.427704, 'Polygon': 743355.982004246, 'Solana': 933437.1633574363, 'Polygon-staking': 7079.433233999999}",0.004901598586016576,-1.5427697067887038,-2.7654312321642465,{},,,['https://hacken.io/audits/#allbridge'],,,1102271.9264363828,,324558.784107,,
617,1578,Hyphen,,-,https://www.biconomy.io,"Hyphen provides simple APIs that lets you easily offer instantaneous value transfers between EVM chains, various L2s & allows quick onboarding from L1 to L2s.",Multi-Chain,https://icons.llama.fi/biconomy.png,2,,,,Bridge,"['Polygon', 'Arbitrum', 'Binance', 'Ethereum', 'Avalanche', 'Optimism']",biconomy/index.js,biconomy,[],[],1648148576.0,hyphen,2809360.1657164115,"{'Optimism': 212571.81530863966, 'Binance': 421993.60722381424, 'Ethereum': 408171.2810584506, 'Avalanche': 260272.10607415508, 'Polygon': 856913.597001673, 'Arbitrum': 649437.759049679}",0.1214848950328502,2.4647563089484947,-3.3804152301538153,{},,,"['https://biconomy-assets.ams3.digitaloceanspaces.com/Biconomy-Hyphen-Audit-report-by-Certik.pdf', 'https://biconomy-assets.ams3.digitaloceanspaces.com/Hyphen_Smart_Contract_Security_Audit_Report_Halborn_v1_1.pdf']",,,,,,,
662,1885,XY Finance,0x77777777772cf0455fb38ee0e75f38034dfa50deXY,XY,https://xy.finance,XY Finance is One-Stop Cross-Chain Swap Aggregator for DeFi & Metaverse.,Multi-Chain,https://icons.llama.fi/xy-finance.jpg,2,,xy-finance,16013,Bridge,"['Ethereum', 'Polygon', 'Astar', 'Fantom', 'Binance', 'Avalanche', 'Klaytn', 'Optimism', 'Cronos', 'Moonriver', 'ThunderCore', 'Kucoin', 'Arbitrum']",xy-finance/index.js,xyfinance,[],[],1657208486.0,xy-finance,2206026.616529497,"{'Optimism': 143333.80121791828, 'Cronos': 142220.86267760812, 'Moonriver': 86684.982518897, 'Klaytn': 157600.756081042, 'Kucoin': 49604.10471625296, 'ThunderCore': 71294.871120464, 'Binance': 201320.80254542103, 'Ethereum': 437880.44333886745, 'Astar': 224366.61786740198, 'Avalanche': 200235.68003062636, 'Polygon': 258426.08781616608, 'Arbitrum': 29680.079275106484, 'Fantom': 203377.52732372476}",-0.054115130772089515,3.4500013969976635,-2.196930217927857,{},,,['https://docs.xy.finance/getting-started/security'],,,1002275.468721449,,,,
689,2033,Interlay BTC,interlay:-,INTR,https://interlay.io/,Fully trustless and decentralized Bitcoin bridge,Interlay,https://icons.llama.fi/interlay.png,0,,,,Bridge,['Interlay'],interlay-btc/index.js,InterlayHQ,[],[],1661801239.0,interlay-btc,1977680.6406611102,{'Interlay': 1977680.6406611102},-0.3604512850088213,-2.0369822013721404,-3.773887881705747,{},,,,,,,,,Interlay,
783,1462,deBridge,,-,https://debridge.finance,deBridge is a cross-chain interoperability and liquidity transfer protocol that allows the decentralized transfer of arbitrary data and assets between various blockchains,Multi-Chain,https://icons.llama.fi/debridge.png,2,,,,Bridge,"['Ethereum', 'Polygon', 'Arbitrum', 'Binance', 'Heco']",debridge/index.js,deBridgeFinance,[],[],1645648202.0,debridge,1394273.906767893,"{'Binance': 9537.185252274496, 'Ethereum': 1349209.7945097748, 'Heco': 32.21963306358198, 'Polygon': 25693.208403177134, 'Arbitrum': 9801.498969602993}",-0.007621391275975498,-0.7811852161594715,0.10014971099685965,{},,,['https://github.com/debridge-finance/debridge-security'],,,,,,,
958,215,Strudel Finance,0x297d33e17e61c2ddd812389c2105193f8348188a,TRDL,https://strudel.finance,"Strudel Finance provides the first one-way, trustless bridge linking Bitcoin and Ethereum.",Ethereum,https://icons.llama.fi/strudel-finance.jpg,0,,strudel-finance,8390,Bridge,['Ethereum'],strudel.js,EnterTheStrudel,,,,strudel-finance,643318.61153252,{'Ethereum': 643318.61153252},0.0,-2.0272904483430807,0.7361247767938295,{},,,,,,0.0,,,,
960,2140,SWFT,,-,https://defi.swft.pro,SWFT is a cross-chain swap aggregator for DEX/CEX/NFT.,Multi-Chain,https://icons.llama.fi/swft.jpg,0,,,,Bridge,"['Ethereum', 'Binance', 'Heco', 'OKExChain', 'Polygon', 'Fantom', 'Kava']",allchainbridge/index.js,SWFTBridge,[],[],1664544754.0,swft,641580.4216770667,"{'Kava': 4.3884050000000006, 'OKExChain': 102634.04995143131, 'Binance': 132497.7508352172, 'Ethereum': 213167.97271600802, 'Heco': 123158.86138019743, 'Polygon': 58147.59233044773, 'Fantom': 11969.806058765062}",1.9468183761454299,20.655389255460975,9.668654517772481,{},,,,,,,,,,
1108,1951,DotOracle,0xb57420fad6731b004309d5a0ec7c6c906adb8df7,DTO,https://civfund.org/,"DotOracle is a real-time decentralized Oracle and Cross-chain bridge supported by multi-chains such as Polkadot, Ethereum, Binance Smart Chain, Fantom, Polygon, Avalanche, Tomochain, and Casper Network. It is currently the first cross-chain bridge on Casper Network and aims to support the Avalanche subnet.",Multi-Chain,https://icons.llama.fi/dotoracle.jpg,0,,dotoracle,13014,Bridge,"['Ethereum', 'Binance', 'Avalanche', 'OKExChain', 'Moonbeam']",dotoracle/index.js,DoTOracle,[],[],1659607635.0,dotoracle,327284.94925544853,"{'OKExChain': 22.091114219986867, 'Moonbeam': 7.932408017406387, 'Binance': 626.8002409321081, 'Ethereum': 326575.9413048903, 'Avalanche': 52.184187388738806, 'Ethereum-staking': 104138.00334685353, 'staking': 104138.00334685353}",-0.11013972494595237,-0.7948811430559317,-0.8695593165590338,{},,,,,,0.0,,104138.00334685353,,
1118,908,Knit Finance,0xEF53462838000184F35f7D991452e5f25110b207,KFT,https://knit.finance,"Developed Single infrastructure which will allow various assets , liquidity to move from one chain to another seamlessely as well enable liquidity staking for DPoS assets",Multi-Chain,https://icons.llama.fi/knit-finance.png,2,,knit-finance,9856,Bridge,"['Ethereum', 'Polygon', 'Binance', 'Fantom', 'Kava', 'Moonriver', 'Harmony', 'Bitgert', 'xDai', 'Heco', 'Avalanche', 'Reef', 'Telos', 'OKExChain', 'Milkomeda', 'Kucoin', 'Moonbeam', 'Syscoin']",knitfinance/index.js,KnitFinance,,"['Internal', 'DIA']",1637799515.0,knit-finance,314911.44654023205,"{'Kava': 0.00012129519623199999, 'Moonriver': 0, 'Harmony': 0, 'Bitgert': 0, 'Binance': 37.3149759982225, 'Ethereum': 167986.64479142998, 'xDai': 0, 'Heco': 0, 'Avalanche': 0, 'Reef': 0, 'Telos': 0, 'Fantom': 0.5046927021000001, 'OKExChain': 0, 'Milkomeda': 0, 'Kucoin': 0, 'Moonbeam': 0, 'Syscoin': 0, 'Polygon': 146886.98195880657}",-0.15985712836356925,0.09944276314348599,0.13910317672500128,{},,,['https://www.certik.com/projects/knitfinance'],,,348946.2686323766,,,,
1248,1682,Nomad,,-,https://nomad.xyz,"Nomad is an interoperability protocol for generalized message passing. We leverage an optimistic mechanism. There are no validators, and there is no blockchain. We're deployed as smart contracts between two chains, and has a lightweight off-chain component. This allows us to have less overhead and be more cost-efficient than other interoperability protocols.",Multi-Chain,https://icons.llama.fi/nomad.png,0,,,,Bridge,"['Ethereum', 'Evmos', 'Milkomeda', 'Moonbeam']",nomad/index.js,nomadxyz_,[],[],1650917040.0,nomad,171089.40086495708,"{'Ethereum': 171089.40086495708, 'Evmos': 0, 'Milkomeda': 0, 'Moonbeam': 0}",-0.015539232250176838,-0.23649900060183882,2.9544622373785643,{},,,,,,,,,,
1386,1675,CENNZnet Bridge,,-,https://app.cennz.net/bridge,The bridge allows you to securely transfer tokens between CENNZnet and Ethereum.,Ethereum,https://icons.llama.fi/cennznet-bridge.png,0,,,,Bridge,['Ethereum'],cennz-bridge.js,CENNZnet,[],[],1650586534.0,cennznet-bridge,86136.71868410218,{'Ethereum': 86136.71868410218},-0.17829765487479676,-2.460730950835327,-3.4400066767559707,{},,,,,,,,,,
1409,1996,Glitter Finance,algorand:607591690,XGLI,https://www.glitterfinance.org/,"Glitter Finance is a cross-chain, interoperability hub between the ecosystems of Algorand and Solana. More information can be found on glitterfinance.org",Multi-Chain,https://icons.llama.fi/glitter-finance.png,2,,glitter-finance,17310,Bridge,"['Solana', 'Algorand']",glitter-finance/index.js,GlitterFinance,,,1660945639.0,glitter-finance,76857.96181882206,"{'Algorand': 31465.96659687099, 'Solana': 45391.995221951074}",0.10931143580015146,-3.274389442335149,-8.843474810224023,{},,,"['https://www.certik.com/projects/glitter-finance', 'https://www.rdauditors.com/wp-content/uploads/2022/06/Glitter-Finance-Penetration-and-Load-Testing-Summary-Report.pdf', 'https://www.dropbox.com/s/nqzsd88tw1h769z/certik_glitter_finance_algorand_audit.pdf?dl=0', 'https://www.dropbox.com/s/figklngtevy99go/certik_glitter_finance_algorand_addendum.pdf?dl=0', 'https://www.dropbox.com/s/7j8bjlmaxdp1apn/certik_glitter_finance_solana_audit.pdf?dl=0']",,,0.0,,,,
1645,2214,BridgeKek,,-,https://bridgekek.io,Bridge from Ethereum Network to Kekchain.,Multi-Chain,https://icons.llama.fi/bridgekek.jpg,0,,,,Bridge,"['Kekchain', 'Ethereum']",bridgekek/index.js,,[],[],1666535695.0,bridgekek,19136.7010717038,"{'Kekchain': 18537.46791666474, 'Ethereum': 599.2331550390596}",0.0,-0.6976333451077465,4.391013739324151,{},,,,,,,,,,
1707,2578,Beamer Bridge,,-,https://app.beamerbridge.com,"Enjoy Effortless Bridging - Beam your ERC20 assets between EVM-compatible rollups with certainty, speed and security.",Multi-Chain,https://icons.llama.fi/beamer-bridge.jpg,2,,,,Bridge,"['Optimism', 'Arbitrum']",beamer/index.js,BeamerBridge,[],[],1677170525.0,beamer-bridge,11966.744753834999,"{'Optimism': 6566.56768029, 'Arbitrum': 5400.177073544999}",-1.5217861991697816,92.0531226851268,29.51664955709336,{},,,['https://drive.google.com/file/d/1_LDtDNWcPC9ZdMK6tHqQpvGw6O1RcHE1/view'],,,,,,,
1942,2364,Butter Network,,-,https://butternetwork.io,"Butter is set to change how users, projects, and dApps move tokens and NFTs between blockchains with a suite of proven-secure and user-friendly products",Multi-Chain,https://icons.llama.fi/butter-network.png,0,,,,Bridge,"['Binance', 'Near', 'Polygon']",butternetwork/index.js,ButterNetworkio,[],[],1671145989.0,butter-network,692.082690004624,"{'Binance': 289.6311915422122, 'Polygon': 154.89130550999997, 'Near': 247.5601929524119}",8.604275012658036e-05,2.91890394947238,15.19776134840572,{},,,,,,,,,,
2130,1941,Lago Bridge,,-,https://www.lago.finance/,The Lago Bridge is the first bridge built on the Kadena blockchain. It is bi-directional and supports wrapping ERC-20 tokens to Kadena.,Ethereum,https://icons.llama.fi/lago-bridge.png,0,,,,Bridge,['Ethereum'],lagobridge/index.js,lagofinance,[],,1659126091.0,lago-bridge,5.1254999999999996e-05,{'Ethereum': 5.1254999999999996e-05},-0.09940357852883608,0.09960159362549348,0.1994017946161506,{},,,,,,,,,,
2370,1678,Printer Financial,,-,https://printer.financial,"Printer Financial is an EVM native cross-chain protocol that lets you transfer value seamlessly across chains and pays interest for providing liquidity. Rather than being pegged to a native token, PAPER is free to travel across all available chains at zero cost to you. No fee, no charge, no tax. Just the freedom to take your PAPER with you wherever you go in the blockchain.",Multi-Chain,https://icons.llama.fi/printer-financial.png,2,,,,Bridge,"['Harmony', 'Fantom', 'Polygon', 'Cronos', 'Binance', 'Avalanche']",printerfinancial/index.js,FinancePrinter,[],[],1650765585.0,printer-financial,0.0,"{'Harmony-pool2': 10880.216943427382, 'Harmony-staking': 1566.696094546058, 'Fantom-staking': 2642.521246309737, 'Polygon-pool2': 33030.15706646937, 'Cronos-staking': 1720.3857885453074, 'Harmony': 0, 'Binance-pool2': 30722.150665371657, 'Binance': 0, 'Binance-staking': 3674.934529883623, 'Avalanche': 0, 'Avalanche-pool2': 5179.556189785695, 'Fantom': 0, 'staking': 15625.276890014928, 'Cronos': 0, 'pool2': 128724.27341329528, 'Avalanche-staking': 2204.395061196026, 'Polygon': 0, 'Cronos-pool2': 20873.41954835868, 'Polygon-staking': 3816.3441695341767, 'Fantom-pool2': 28038.772999882498}",,,,{},,,,,,,,15625.276890014928,,128724.27341329528
2452,2238,anetaBTC,,-,https://anetabtc.io,"AnetaBTC is a fully on-chain, decentralized protocol that allows Bitcoin to be directly wrapped on the Ergo and Cardano blockchains. AnetaBTC enables Bitcoin holders to unlock the value of their assets in a secure and efficient environment to provide yield, without selling any Bitcoin and without any third-party custodian involvement.",Multi-Chain,https://icons.llama.fi/anetabtc.jpg,2,,,,Bridge,"['Cardano', 'Ergo']",anetabtc/index.js,anetaBTC,[],[],1667056144.0,anetabtc,0.0,"{'Cardano': 0, 'Ergo-staking': 1819261.0353001878, 'Cardano-staking': 1323249.2609332958, 'staking': 3142510.2962334836}",,,,{},,,['https://github.com/andrehafner/my.ergoport.dev/tree/main/aneta'],,,,,3142510.2962334836,,
