,id,name,displayName,icon,volumePrevDay,volumePrev2Day,lastHourlyVolume,currentDayVolume,lastDailyVolume,dayBeforeLastVolume,weeklyVolume,monthlyVolume,chains,destinationChain
0,5,multichain,Multichain,icons:multichain,26126019.614581533,39229801.75033702,2293168.7804103657,13160808.23319137,26126019.614581533,39229801.75033702,277576206.3943625,1489038356.723899,"['Arbitrum', 'Ethereum', 'Polygon', 'Optimism', 'Fantom', 'Avalanche', 'Gnosis', 'Celo', 'BSC']",false
1,10,celer,Celer cBridge,icons:cbridge,25120866.43151413,31810568.75697469,178305.76299188146,1862741.7675915498,25120866.43151413,31810568.75697469,128172410.61110114,479930505.7014407,"['Arbitrum', 'Optimism', 'BSC', 'Ethereum', 'Polygon', 'Avalanche', 'Aurora', 'Fantom', 'Gnosis', 'Celo', 'Klaytn']",false
2,12,stargate,Stargate,icons:stargate,22644977.61073906,67029798.1041314,1249917.2483210177,3538466.356622049,22644977.61073906,67029798.1041314,182003523.03146157,640135478.5159289,"['Arbitrum', 'Ethereum', 'Optimism', 'BSC', 'Polygon', 'Avalanche', 'Fantom']",false
3,1,polygon,Polygon PoS Bridge,chain:polygon,17993424.19153638,55189398.80197646,8657249.374346964,10221330.771752708,17993424.19153638,55189398.80197646,198055215.83220005,800619454.3140086,"['Ethereum', 'Polygon']",Polygon
4,2,arbitrum,Arbitrum Bridge,chain:arbitrum,17022262.02990357,50619916.19136185,660452.2454023635,1671866.8210364329,17022262.02990357,50619916.19136185,631153790.3640513,1206662968.222109,"['Ethereum', 'Arbitrum']",Arbitrum
5,11,synapse,Synapse,icons:synapse,10189974.705234252,23375596.878246307,312484.1620860954,999323.1077339249,10189974.705234252,23375596.878246307,126220240.51319298,375653349.8047567,"['Arbitrum', 'Ethereum', 'Avalanche', 'Optimism', 'BSC', 'Polygon', 'Fantom', 'Aurora', 'Klaytn']",false
6,13,hop,Hop,icons:hop-protocol,9221220.231070202,9633267.725378944,374685.72044050705,1224080.7115839915,9221220.231070202,9633267.725378944,69900459.1015972,191413609.1605082,"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon', 'Gnosis']",false
7,18,rainbowbridge,Rainbow Bridge,chain:aurora,8958569.048758771,641366.8875685404,6659.360628008,1000759.6714678978,8958569.048758771,641366.8875685404,13801344.052778173,64365747.66644029,"['Ethereum', 'Aurora']",Aurora
8,3,avalanche,Avalanche Bridge,chain:avalanche,5343614.209753329,4604273.177372539,346934.6197144445,834284.3962567463,5343614.209753329,4604273.177372539,37626624.773231946,728166034.5816348,"['Ethereum', 'Avalanche']",Avalanche
9,19,across,Across,icons:across,4103177.557010083,15789189.518152181,83297.41948795992,791529.8780492495,4103177.557010083,15789189.518152181,54830463.6908093,161203515.7761355,"['Arbitrum', 'Ethereum', 'Optimism', 'Polygon']",false
10,4,optimism,Optimism Gateway,chain:optimism,2545638.921457609,11230234.28424213,195587.719223294,693400.5671199707,2545638.921457609,11230234.28424213,52262455.55079686,313106180.46286184,"['Ethereum', 'Optimism']",false
11,15,avalanche-btc,Core Bitcoin Bridge,chain:avalanche,1501406.9632865402,2866973.3307340546,198.39663997999997,7036.7174345,1501406.9632865402,2866973.3307340546,25486565.44265939,597897183.2365419,['Avalanche'],-
12,7,orbitbridge,Orbit Bridge,icons:orbit-bridge,1178802.7642754242,639190.6050390818,30240.76242460801,63849.89828047376,1178802.7642754242,639190.6050390818,9788915.864268653,66701898.90541258,"['Klaytn', 'Ethereum', 'Polygon', 'BSC', 'Fantom', 'Avalanche']",false
13,9,portal,Portal by Wormhole,icons:portal,923428.5565013357,2541251.1273219106,913.34913193179,15014.435846786604,923428.5565013357,2541251.1273219106,11828437.619430004,88369175.0357135,"['Ethereum', 'BSC', 'Celo', 'Avalanche', 'Fantom', 'Polygon', 'Aurora', 'Klaytn']",false
14,16,xdai,xDai Bridge,chain:xdai,709589.9447639372,958232.5127243848,3044.474966105689,17881.307551472757,709589.9447639372,958232.5127243848,28695930.12153332,73342313.12198646,"['Ethereum', 'Gnosis']",Gnosis
15,22,allbridge,Allbridge Core,icons:allbridge,101776.60539666458,260866.29492477872,1831.0391866927503,15773.813555074852,101776.60539666458,260866.29492477872,789181.0236954947,3586473.025462793,"['Ethereum', 'BSC']",false
16,8,chainport,ChainPort,icons:chainport,60439.58929199436,75135.6224716019,974.1170253031415,1034.828261340152,60439.58929199436,75135.6224716019,2279273.014708329,6937370.678999287,"['BSC', 'Ethereum', 'Avalanche', 'Polygon', 'Fantom', 'Aurora']",false
17,6,polynetwork,Poly Network,icons:poly-network,34794.8228593418,50675.59689716977,0.25067348980508797,3315.954814623575,34794.8228593418,50675.59689716977,1033454.7539610278,6507113.180281527,"['Ethereum', 'BSC', 'Polygon', 'Optimism', 'Arbitrum', 'Avalanche', 'Fantom', 'Gnosis', 'Celo']",false
18,21,optics,Optics,chain:celo,1197.7863827307538,464.1754547575806,62.52105,62.52105,1197.7863827307538,464.1754547575806,12945.479234778455,193785.1247581562,"['Ethereum', 'Celo', 'Polygon']",false
19,24,meter,Meter Passport,icons:meter-passport,1056.2916305743584,6626.175221681047,1257.5,0.0,1056.2916305743584,6626.175221681047,34244.47672934581,727949.5473380123,"['Ethereum', 'BSC']",false
20,23,ibc,IBC,chain:cosmos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Osmosis', 'Secret', 'Injective', 'Terra Classic', 'Crescent', 'Cronos', 'Evmos', 'Juno', 'Kujira', 'Sifchain', 'Stride', 'Cosmos', 'Canto']",false
