,0,1,2,3,4
0,ethereum,ETH,3106.072054158695,1648252702,
1,ethereum,ETH,3140.8757105064406,1648339145,
2,ethereum,ETH,3285.1730967305425,1648425551,
3,ethereum,ETH,3328.9341246867148,1648511966,
4,ethereum,ETH,3401.184431040135,1648598293,
5,ethereum,ETH,3383.7887617814154,1648684706,
6,ethereum,ETH,3283.3028425717257,1648771169,
7,ethereum,ETH,3451.1960908672754,1648857593,
8,ethereum,ETH,3440.3362384891684,1648943990,
9,ethereum,ETH,3521.5847247785246,1649030366,
10,ethereum,ETH,3520.9671175043636,1649116754,
11,ethereum,ETH,3414.213063672609,1649203211,
12,ethereum,ETH,3171.371104498954,1649289497,
13,ethereum,ETH,3232.834988999582,1649375943,
14,ethereum,ETH,3192.0250912893603,1649462357,
15,ethereum,ETH,3265.938067729151,1649548688,
16,ethereum,ETH,3219.159553453764,1649635101,
17,ethereum,ETH,2987.0187011106773,1649721634,
18,ethereum,ETH,3038.209421996366,1649807906,
19,ethereum,ETH,3123.779924392582,1649894424,
20,ethereum,ETH,3023.417211885316,1649980769,
21,ethereum,ETH,3045.42807480128,1650067126,
22,ethereum,ETH,3065.2355073039707,1650153620,
23,ethereum,ETH,2995.719421019825,1650239919,
24,ethereum,ETH,3061.8905711469047,1650326318,
25,ethereum,ETH,3103.166790932381,1650412801,
26,ethereum,ETH,3078.2080354591612,1650499240,
27,ethereum,ETH,2987.4888760341605,1650585578,
28,ethereum,ETH,2967.085285238213,1650671910,
29,ethereum,ETH,2940.6879777714407,1650758396,
30,ethereum,ETH,2922.901865199808,1650844789,
31,ethereum,ETH,3008.3363470853,1650931159,
32,ethereum,ETH,2811.0027700110945,1651017656,
33,ethereum,ETH,2889.5922230230817,1651103996,
34,ethereum,ETH,2935.4491326735665,1651190433,
35,ethereum,ETH,2818.6260072520367,1651276807,
36,ethereum,ETH,2738.1741359527714,1651363179,
37,ethereum,ETH,2832.513106895354,1651449591,
38,ethereum,ETH,2859.9953442837964,1651536023,
39,ethereum,ETH,2783.778948889256,1651622411,
40,ethereum,ETH,2942.052313122658,1651708743,
41,ethereum,ETH,2753.936566546688,1651795191,
42,ethereum,ETH,2699.7072470893745,1651881549,
43,ethereum,ETH,2641.229106940243,1651967941,
44,ethereum,ETH,2523.074858921165,1652054437,
45,ethereum,ETH,2249.8909622207443,1652140735,
46,ethereum,ETH,2344.797715643986,1652227099,
47,ethereum,ETH,2080.661224146413,1652313657,
48,ethereum,ETH,1966.6991711336661,1652399962,
49,ethereum,ETH,2013.2178190166546,1652486446,
50,ethereum,ETH,2064.229357512243,1652572773,
51,ethereum,ETH,2147.047447880575,1652659147,
52,ethereum,ETH,2025.8886983912162,1652745565,
53,ethereum,ETH,2095.178884796724,1652831978,
54,ethereum,ETH,1915.1771232664505,1652918380,
55,ethereum,ETH,2011.3184265729594,1652993844,
56,ethereum,ETH,1963.9909395294865,1653091158,
57,ethereum,ETH,1978.1471325624789,1653177584,
58,ethereum,ETH,2046.6463496545232,1653263958,
59,ethereum,ETH,1974.5811944790914,1653350343,
60,ethereum,ETH,1979.770545006472,1653436761,
61,ethereum,ETH,1944.2662044828226,1653523238,
62,ethereum,ETH,1807.9694742881136,1653609538,
63,ethereum,ETH,1724.8757340323443,1653695933,
64,ethereum,ETH,1797.0136874979341,1653782429,
65,ethereum,ETH,1814.9831598025937,1653868766,
66,ethereum,ETH,1995.9364841552344,1653955120,
67,ethereum,ETH,1944.078766836179,1654041573,
68,ethereum,ETH,1824.2168379733073,1654128049,
69,ethereum,ETH,1835.9842120027167,1654214408,
70,ethereum,ETH,1775.639804624746,1654300873,
71,ethereum,ETH,1804.2616695112486,1654387191,
72,ethereum,ETH,1805.3313949894373,1654473559,
73,ethereum,ETH,1860.1813068416047,1654559996,
74,ethereum,ETH,1819.0084952818488,1654646450,
75,ethereum,ETH,1794.539625671828,1654732762,
76,ethereum,ETH,1788.4182866616045,1654819164,
77,ethereum,ETH,1663.844367412088,1654905599,
78,ethereum,ETH,1530.0386174317211,1654991936,
79,ethereum,ETH,1442.1428023560777,1655078416,
80,ethereum,ETH,1205.5952855404787,1655164767,
81,ethereum,ETH,1213.7572439085666,1655251203,
82,ethereum,ETH,1235.8845902494031,1655337659,
83,ethereum,ETH,1068.6035748646073,1655423976,
84,ethereum,ETH,1087.4133183384715,1655510461,
85,ethereum,ETH,995.974339837249,1655596833,
86,ethereum,ETH,1127.8303035025194,1655683234,
87,ethereum,ETH,1132.0543935828048,1655769598,
88,ethereum,ETH,1124.5613920165545,1655855978,
89,ethereum,ETH,1051.0740681589236,1655942365,
90,ethereum,ETH,1144.4807534808065,1656028735,
91,ethereum,ETH,1229.3040854466553,1656115200,
92,ethereum,ETH,1244.2862044953927,1656201515,
93,ethereum,ETH,1201.237790641909,1656287964,
94,ethereum,ETH,1193.312511296306,1656374408,
95,ethereum,ETH,1143.2883786705793,1656460850,
96,ethereum,ETH,1098.9055176105344,1656547161,
97,ethereum,ETH,1058.456752847504,1656633667,
98,ethereum,ETH,1072.801274689286,1656718229,
99,ethereum,ETH,1067.4860675817192,1656806438,
100,ethereum,ETH,1074.6073175787587,1656892793,
101,ethereum,ETH,1152.0609113194787,1656979231,
