,node1,node2,corr,mutual,plus
0,ACA,ALGO,0.6827536713463557,0.13701167060600272,True
1,ACA,ASTR,0.7289404405572245,0.12405989521064764,True
2,ACA,AOA,0.38504969194012817,0.2671746828625803,True
3,ACA,AVAX,0.7104051644404863,0.1290914102992583,True
4,ACA,BFC,0.5572840669321344,0.18027866014590488,True
5,ACA,BTC,0.6157968897449051,0.15846990475646472,True
6,ACA,BTT,0.5819102038001075,0.17071767215863853,True
7,ACA,STX,0.4936684149010544,0.20789368255367868,True
8,ACA,CRBN,0.2867135713175141,0.33938711767137764,True
9,ACA,ADA,0.6764374936927045,0.1388937455358562,True
10,ACA,CELO,0.6025256083132121,0.1631467576050898,True
11,ACA,CFX,0.4263869423576546,0.242524571382702,True
12,ACA,CMCX,0.20793456525184562,0.4167047129956156,True
13,ACA,COTI,0.6742348495088064,0.13955667239119507,True
14,ACA,ITAMCUBE,0.049725536633140645,0.6923219927138016,True
15,ACA,DFI,0.5521463236374411,0.1823480251610684,True
16,ACA,EGLD,0.6360932343089547,0.15160048505413193,True
17,ACA,EOS,0.623851530013446,0.15570362878292354,True
18,ACA,ETH,0.6420165664363763,0.14965783201091432,True
19,ACA,EVER,0.13078903029302233,0.5202456662485622,True
20,ACA,FTM,0.6825956722734857,0.13705841157301957,True
21,ACA,FLOW,0.6100891215166503,0.1604629542974758,True
22,ACA,FSN,0.4577935282046309,0.2255851042503264,True
23,ACA,GNO,0.598598574437861,0.164559755961453,True
24,ACA,GO,0.5940559846492687,0.16621116925049917,True
25,ACA,ONE,0.6821333410180347,0.1371952827599724,True
26,ACA,HBAR,0.6423638937685001,0.14954476991408683,True
27,ACA,ICX,0.6824654662063134,0.13709694352399537,True
28,ACA,IOTX,0.6689284201728933,0.14116791363428438,True
29,ACA,KAR,0.6361871586857227,0.1515694662094773,True
30,ACA,KAVA,0.5660062812852078,0.17682552611914626,True
31,ACA,KLAY,0.5445330212332498,0.1854637223035931,True
32,ACA,KCS,0.6170699503427999,0.1580291078392041,True
33,ACA,KUJI,0.1047270776226007,0.5652895445316671,True
34,ACA,KSM,0.6825168884339855,0.13708172471222968,True
35,ACA,TAU,0.2420894599846595,0.38048643359272827,True
36,ACA,MATIC,0.6332691464029842,0.1525364097663443,True
37,ACA,MTS,-0.03595956350432308,0.7365728823211632,False
38,ACA,XIN,0.5999086315280111,0.16408688026278395,True
39,ACA,GLMR,0.6797074135691876,0.1379159042339727,True
40,ACA,MOVR,0.7170302522479842,0.12726818406111395,True
41,ACA,MTV,0.5968444231787472,0.16519529582112547,True
42,ACA,NEAR,0.6674493847929389,0.14162060626755757,True
43,ACA,NEO,0.6241160633453938,0.15561368380645024,True
44,ACA,NULS,0.5732856201254551,0.17400018412307472,True
45,ACA,ROSE,0.6563073671752162,0.14508215024432947,True
46,ACA,ONT,0.6793389544289601,0.13802571401698094,True
47,ACA,OSMO,0.543440242841261,0.18591582959654962,True
48,ACA,XPRT,0.3586920964850771,0.28447723493517985,True
49,ACA,POLIS,0.027870941673177694,0.7671550446942215,True
50,ACA,DOT,0.6987526909900195,0.13236695378235852,True
51,ACA,XPR,0.5739700537488144,0.17373713584449957,True
52,ACA,RON,0.5597230407222864,0.17930552403486333,True
53,ACA,RBTC,0.6011211450928501,0.16365055371763304,True
54,ACA,SCRT,0.6176011801142283,0.15784556934804805,True
55,ACA,EROWAN,0.17728655346867203,0.45362360335241636,True
56,ACA,SOL,0.6668697501784981,0.1417984475607006,True
57,ACA,XOR,0.22653073704348686,0.3964099525636311,True
58,ACA,FIS,0.5277850627853384,0.19253109686992032,True
59,ACA,STARS,0.5715670451092887,0.17466264426192823,True
60,ACA,XLM,0.6623028216111592,0.14320819387587713,True
61,ACA,STEP,0.22782862801007084,0.39504637384999797,True
62,ACA,TLOS,0.5913366633949991,0.1672085369975571,True
63,ACA,XTZ,0.6546627699799972,0.14560085476083762,True
64,ACA,RUNE,0.718948738864633,0.1267454143377943,True
65,ACA,TRX,0.4589919208322205,0.2249666646424865,True
66,ACA,UOS,0.5969081595616077,0.16517215619449344,True
67,ACA,UMEE,0.4177064978302699,0.24746782803114487,True
68,ACA,VLX,0.4209772671201368,0.24559132726573518,True
69,ACA,VITE,0.6139529431934562,0.15911077595882983,True
70,ACA,WAN,0.5910237600862014,0.16732372608210422,True
71,ACA,WAVES,0.5482677162515066,0.18392790643731838,True
