,Category,TVL
0,Liquid Staking,15367020578.294163
1,CDP,10250549594.36649
2,Lending,13894206810.698147
3,Dexes,17162094674.880146
4,Yield,5350692034.317561
5,Services,2651979936.23431
6,Algo-Stables,1096795359.6420875
7,Payments,153856961.0002576
8,Yield Aggregator,923505417.7615173
9,Derivatives,1169053516.3997595
10,Synthetics,616343128.6030278
11,Insurance,271228249.6763
12,Reserve Currency,331512987.80544317
13,Privacy,258812873.48100004
14,NFT Lending,286994736.88199997
15,Staking,75461426.04694
16,NFT Marketplace,134942051.456454
17,Launchpad,531042853.7941624
18,Farm,7721111.884068722
19,Leveraged Farming,170055008.14699998
20,Cross Chain,301814631.9052576
21,Options,79093267.853013
22,Options Vault,33471165.50268056
23,RWA,145724788.33
24,Prediction Market,10361989.384970386
25,Indexes,45896826.320718
26,Exotic Options,13188844.05
27,Gaming,2444851.9451948
28,Oracle,0.0
